t_s,ratio
0.000000,0.015625
0.019000,0.031250
0.202000,0.046875
0.264000,0.062500
0.341000,0.078125
0.401000,0.093750
0.421000,0.109375
0.446000,0.125000
0.468000,0.140625
0.667000,0.156250
0.730000,0.171875
0.771000,0.187500
0.778000,0.203125
0.786000,0.218750
0.789000,0.234375
0.804000,0.250000
0.831000,0.265625
0.846000,0.281250
0.846000,0.296875
0.849000,0.312500
0.865000,0.328125
0.895000,0.343750
0.897000,0.359375
0.910000,0.375000
0.912000,0.390625
0.926000,0.406250
0.929000,0.421875
0.930000,0.437500
0.932000,0.453125
0.937000,0.468750
0.940000,0.484375
0.946000,0.500000
0.948000,0.515625
0.950000,0.531250
0.953000,0.546875
0.954000,0.562500
0.955000,0.578125
0.955000,0.593750
0.957000,0.609375
0.959000,0.625000
0.960000,0.640625
0.960000,0.656250
0.964000,0.671875
0.974000,0.687500
0.979000,0.703125
0.980000,0.718750
0.988000,0.734375
0.988000,0.750000
0.991000,0.765625
0.996000,0.781250
0.998000,0.796875
1.003000,0.812500
1.005000,0.828125
1.005000,0.843750
1.006000,0.859375
1.007000,0.875000
1.009000,0.890625
1.011000,0.906250
1.011000,0.921875
1.011000,0.937500
1.013000,0.953125
1.013000,0.968750
1.015000,0.984375
1.021000,1.000000
