router_id,t_converged_s
1,0.341000
2,1.006000
3,0.202000
4,0.930000
5,0.937000
6,0.865000
7,0.953000
8,0.996000
9,0.991000
10,0.831000
11,0.849000
12,0.912000
13,0.950000
14,0.929000
15,0.960000
16,0.980000
17,0.019000
18,1.005000
19,0.771000
20,0.895000
21,0.988000
22,0.804000
23,0.979000
24,0.932000
25,0.926000
26,0.955000
27,0.910000
28,0.778000
29,0.421000
30,0.789000
31,0.667000
32,0.946000
33,0.401000
34,1.011000
35,0.846000
36,0.730000
37,0.264000
38,0.468000
39,1.003000
40,0.974000
41,0.000000
42,1.013000
43,1.011000
44,1.009000
45,0.959000
46,0.988000
47,0.964000
48,0.998000
49,0.897000
50,0.940000
51,0.957000
52,0.955000
53,0.954000
54,0.786000
55,0.948000
56,0.960000
57,1.013000
58,1.015000
59,1.021000
60,0.846000
61,0.446000
62,1.011000
63,1.007000
64,1.005000
