t_s,ratio
0.000000,0.015625
0.069225,0.031250
0.135260,0.046875
0.207135,0.062500
0.212903,0.078125
0.214240,0.093750
0.217175,0.109375
0.223930,0.125000
0.271821,0.140625
0.357939,0.156250
0.535104,0.171875
0.537808,0.187500
0.538239,0.203125
0.539432,0.218750
0.546960,0.234375
0.547970,0.250000
0.549406,0.265625
0.549928,0.281250
0.579900,0.296875
0.585197,0.312500
0.618183,0.328125
0.622773,0.343750
0.623670,0.359375
0.624438,0.375000
0.663180,0.390625
0.663781,0.406250
0.667184,0.421875
0.667719,0.437500
0.693435,0.453125
0.704068,0.468750
0.705739,0.484375
0.706411,0.500000
0.707821,0.515625
0.709971,0.531250
0.741031,0.546875
0.746629,0.562500
0.747739,0.578125
0.748078,0.593750
0.748687,0.609375
0.752216,0.625000
0.757422,0.640625
0.758833,0.656250
0.760113,0.671875
0.760199,0.687500
0.760201,0.703125
0.761371,0.718750
0.761453,0.734375
0.762627,0.750000
0.762633,0.765625
0.762663,0.781250
0.762739,0.796875
0.762749,0.812500
0.762801,0.828125
0.781219,0.843750
0.782446,0.859375
0.783516,0.875000
0.783699,0.890625
0.794149,0.906250
0.797079,0.921875
0.801659,0.937500
0.802694,0.953125
0.803435,0.968750
0.822256,0.984375
0.822610,1.000000
