router_id,t_converged_s
1,0.822610
2,0.212903
3,0.217175
4,0.781219
5,0.624438
6,0.271821
7,0.537808
8,0.748687
9,0.797079
10,0.667719
11,0.760201
12,0.760199
13,0.579900
14,0.546960
15,0.705739
16,0.704068
17,0.069225
18,0.538239
19,0.761453
20,0.667184
21,0.207135
22,0.223930
23,0.761371
24,0.549928
25,0.214240
26,0.746629
27,0.709971
28,0.663781
29,0.782446
30,0.623670
31,0.693435
32,0.707821
33,0.741031
34,0.622773
35,0.758833
36,0.535104
37,0.549406
38,0.539432
39,0.801659
40,0.357939
41,0.000000
42,0.762663
43,0.762801
44,0.762749
45,0.762627
46,0.762633
47,0.762739
48,0.135260
49,0.752216
50,0.706411
51,0.748078
52,0.747739
53,0.783699
54,0.618183
55,0.783516
56,0.822256
57,0.794149
58,0.757422
59,0.760113
60,0.663180
61,0.547970
62,0.585197
63,0.802694
64,0.803435
