router_id,t_converged_s
1,0.241000
2,0.148000
3,0.051000
4,0.240000
5,0.209000
6,0.069000
7,0.244000
8,0.241000
9,0.228000
10,0.228000
11,0.213000
12,0.236000
13,0.134000
14,0.127000
15,0.227000
16,0.235000
17,0.002000
18,0.240000
19,0.232000
20,0.195000
21,0.144000
22,0.077000
23,0.215000
24,0.224000
25,0.205000
26,0.127000
27,0.214000
28,0.216000
29,0.157000
30,0.177000
31,0.233000
32,0.127000
33,0.237000
34,0.218000
35,0.224000
36,0.231000
37,0.072000
38,0.237000
39,0.215000
40,0.240000
41,0.000000
42,0.236000
43,0.242000
44,0.243000
45,0.080000
46,0.218000
47,0.226000
48,0.227000
49,0.210000
50,0.209000
51,0.220000
52,0.219000
53,0.237000
54,0.237000
55,0.181000
56,0.181000
57,0.218000
58,0.241000
59,0.236000
60,0.239000
61,0.232000
62,0.243000
63,0.243000
64,0.244000
