t_s,ratio
0.000000,0.015625
0.002000,0.031250
0.051000,0.046875
0.069000,0.062500
0.072000,0.078125
0.077000,0.093750
0.080000,0.109375
0.127000,0.125000
0.127000,0.140625
0.127000,0.156250
0.134000,0.171875
0.144000,0.187500
0.148000,0.203125
0.157000,0.218750
0.177000,0.234375
0.181000,0.250000
0.181000,0.265625
0.195000,0.281250
0.205000,0.296875
0.209000,0.312500
0.209000,0.328125
0.210000,0.343750
0.213000,0.359375
0.214000,0.375000
0.215000,0.390625
0.215000,0.406250
0.216000,0.421875
0.218000,0.437500
0.218000,0.453125
0.218000,0.468750
0.219000,0.484375
0.220000,0.500000
0.224000,0.515625
0.224000,0.531250
0.226000,0.546875
0.227000,0.562500
0.227000,0.578125
0.228000,0.593750
0.228000,0.609375
0.231000,0.625000
0.232000,0.640625
0.232000,0.656250
0.233000,0.671875
0.235000,0.687500
0.236000,0.703125
0.236000,0.718750
0.236000,0.734375
0.237000,0.750000
0.237000,0.765625
0.237000,0.781250
0.237000,0.796875
0.239000,0.812500
0.240000,0.828125
0.240000,0.843750
0.240000,0.859375
0.241000,0.875000
0.241000,0.890625
0.241000,0.906250
0.242000,0.921875
0.243000,0.937500
0.243000,0.953125
0.243000,0.968750
0.244000,0.984375
0.244000,1.000000
