router_id,t_converged_s
1,0.095000
2,0.095000
3,0.103000
4,0.099000
5,0.079000
6,0.103000
7,0.106000
8,0.082000
9,0.099000
10,0.000000
11,0.000000
12,0.096000
13,0.051000
14,0.082000
15,0.099000
16,0.000000
17,0.087000
18,0.108000
19,0.000000
20,0.000000
21,0.046000
22,0.109000
23,0.000000
24,0.112000
25,0.077000
26,0.111000
27,0.100000
28,0.048000
29,0.068000
30,0.108000
31,0.107000
32,0.102000
33,0.115000
34,0.100000
35,0.000000
36,0.104000
37,0.081000
38,0.000000
39,0.000000
40,0.121000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.107000
46,0.074000
47,0.028000
48,0.022000
49,0.000000
50,0.125000
51,0.084000
52,0.084000
53,0.123000
54,0.000000
55,0.130000
56,0.126000
57,0.077000
58,0.113000
59,0.134000
60,0.119000
61,0.000000
62,0.000000
63,0.114000
64,0.102000
