router_id,t_converged_s
1,1.620000
2,1.355000
3,1.692000
4,1.634000
5,1.212000
6,1.433000
7,1.486000
8,1.673000
9,1.698000
10,1.170000
11,1.577000
12,1.760000
13,1.788000
14,1.773000
15,1.351000
16,1.431000
17,0.035000
18,1.622000
19,1.789000
20,1.686000
21,0.698000
22,1.599000
23,1.778000
24,1.072000
25,1.673000
26,1.646000
27,1.020000
28,0.956000
29,1.491000
30,1.275000
31,1.233000
32,1.600000
33,1.607000
34,1.512000
35,1.546000
36,1.324000
37,1.605000
38,1.563000
39,1.742000
40,1.761000
41,0.000000
42,1.814000
43,1.731000
44,1.816000
45,0.727000
46,1.801000
47,1.803000
48,1.792000
49,0.985000
50,1.658000
51,1.696000
52,1.692000
53,1.301000
54,1.615000
55,1.617000
56,1.627000
57,1.573000
58,1.584000
59,1.636000
60,1.630000
61,1.788000
62,1.767000
63,1.790000
64,1.784000
