t_s,ratio
0.000000,0.015625
0.035000,0.031250
0.698000,0.046875
0.727000,0.062500
0.956000,0.078125
0.985000,0.093750
1.020000,0.109375
1.072000,0.125000
1.170000,0.140625
1.212000,0.156250
1.233000,0.171875
1.275000,0.187500
1.301000,0.203125
1.324000,0.218750
1.351000,0.234375
1.355000,0.250000
1.431000,0.265625
1.433000,0.281250
1.486000,0.296875
1.491000,0.312500
1.512000,0.328125
1.546000,0.343750
1.563000,0.359375
1.573000,0.375000
1.577000,0.390625
1.584000,0.406250
1.599000,0.421875
1.600000,0.437500
1.605000,0.453125
1.607000,0.468750
1.615000,0.484375
1.617000,0.500000
1.620000,0.515625
1.622000,0.531250
1.627000,0.546875
1.630000,0.562500
1.634000,0.578125
1.636000,0.593750
1.646000,0.609375
1.658000,0.625000
1.673000,0.640625
1.673000,0.656250
1.686000,0.671875
1.692000,0.687500
1.692000,0.703125
1.696000,0.718750
1.698000,0.734375
1.731000,0.750000
1.742000,0.765625
1.760000,0.781250
1.761000,0.796875
1.767000,0.812500
1.773000,0.828125
1.778000,0.843750
1.784000,0.859375
1.788000,0.875000
1.788000,0.890625
1.789000,0.906250
1.790000,0.921875
1.792000,0.937500
1.801000,0.953125
1.803000,0.968750
1.814000,0.984375
1.816000,1.000000
