t_s,ratio
0.000000,0.015625
0.000000,0.031250
0.597000,0.046875
0.610000,0.062500
0.750000,0.078125
0.901000,0.093750
0.991000,0.109375
1.019000,0.125000
1.033000,0.140625
1.043000,0.156250
1.046000,0.171875
1.052000,0.187500
1.057000,0.203125
1.059000,0.218750
1.060000,0.234375
1.062000,0.250000
1.063000,0.265625
1.063000,0.281250
1.063000,0.296875
1.065000,0.312500
1.065000,0.328125
1.068000,0.343750
1.069000,0.359375
1.072000,0.375000
1.073000,0.390625
1.074000,0.406250
1.076000,0.421875
1.079000,0.437500
1.079000,0.453125
1.079000,0.468750
1.079000,0.484375
1.080000,0.500000
1.081000,0.515625
1.081000,0.531250
1.083000,0.546875
1.083000,0.562500
1.084000,0.578125
1.084000,0.593750
1.085000,0.609375
1.087000,0.625000
1.088000,0.640625
1.088000,0.656250
1.088000,0.671875
1.088000,0.687500
1.089000,0.703125
1.090000,0.718750
1.091000,0.734375
1.091000,0.750000
1.091000,0.765625
1.091000,0.781250
1.091000,0.796875
1.092000,0.812500
1.092000,0.828125
1.092000,0.843750
1.093000,0.859375
1.093000,0.875000
1.093000,0.890625
1.094000,0.906250
1.094000,0.921875
1.094000,0.937500
1.094000,0.953125
1.094000,0.968750
1.094000,0.984375
1.095000,1.000000
