router_id,t_converged_s
1,1.092000
2,1.094000
3,1.063000
4,1.094000
5,0.750000
6,1.046000
7,1.092000
8,0.901000
9,1.092000
10,1.065000
11,1.094000
12,1.076000
13,1.081000
14,1.085000
15,1.089000
16,1.073000
17,1.052000
18,0.000000
19,1.074000
20,1.079000
21,1.060000
22,1.095000
23,1.090000
24,1.091000
25,1.094000
26,0.597000
27,1.084000
28,1.087000
29,1.093000
30,0.610000
31,1.088000
32,1.088000
33,1.079000
34,1.081000
35,1.093000
36,1.079000
37,1.091000
38,1.094000
39,1.080000
40,1.084000
41,0.000000
42,1.062000
43,1.072000
44,1.083000
45,1.083000
46,1.057000
47,1.094000
48,1.059000
49,1.088000
50,0.991000
51,1.069000
52,1.063000
53,1.065000
54,1.033000
55,1.043000
56,1.093000
57,1.091000
58,1.088000
59,1.091000
60,1.063000
61,1.091000
62,1.019000
63,1.079000
64,1.068000
