t_s,ratio
0.000000,0.015625
0.062265,0.031250
0.204162,0.046875
0.244173,0.062500
0.244516,0.078125
0.259326,0.093750
0.341775,0.109375
0.435658,0.125000
0.436803,0.140625
0.473905,0.156250
0.477539,0.171875
0.478993,0.187500
0.483470,0.203125
0.484406,0.218750
0.490803,0.234375
0.520395,0.250000
0.546421,0.265625
0.564502,0.281250
0.565658,0.296875
0.566908,0.312500
0.615848,0.328125
0.616484,0.343750
0.621230,0.359375
0.638876,0.375000
0.641766,0.390625
0.642025,0.406250
0.644564,0.421875
0.650679,0.437500
0.651868,0.453125
0.656945,0.468750
0.658888,0.484375
0.658992,0.500000
0.660734,0.515625
0.661719,0.531250
0.664983,0.546875
0.682155,0.562500
0.682247,0.578125
0.683411,0.593750
0.683508,0.609375
0.684651,0.625000
0.685144,0.640625
0.685433,0.656250
0.686066,0.671875
0.687758,0.687500
0.694036,0.703125
0.703416,0.718750
0.705633,0.734375
0.706704,0.750000
0.728787,0.765625
0.729286,0.781250
0.730584,0.796875
0.730729,0.812500
0.748825,0.828125
0.749349,0.843750
0.749557,0.859375
0.749587,0.875000
0.750308,0.890625
0.750482,0.906250
0.770315,0.921875
0.772113,0.937500
0.773600,0.953125
0.776395,0.968750
0.777186,0.984375
0.777724,1.000000
