t_s,ratio
0.000000,0.015625
0.034000,0.031250
0.636000,0.046875
0.652000,0.062500
0.741000,0.078125
0.825000,0.093750
1.023000,0.109375
1.152000,0.125000
1.152000,0.140625
1.253000,0.156250
1.260000,0.171875
1.284000,0.187500
1.286000,0.203125
1.288000,0.218750
1.325000,0.234375
1.327000,0.250000
1.354000,0.265625
1.385000,0.281250
1.387000,0.296875
1.412000,0.312500
1.419000,0.328125
1.449000,0.343750
1.475000,0.359375
1.499000,0.375000
1.499000,0.390625
1.500000,0.406250
1.511000,0.421875
1.525000,0.437500
1.538000,0.453125
1.540000,0.468750
1.540000,0.484375
1.543000,0.500000
1.548000,0.515625
1.548000,0.531250
1.550000,0.546875
1.551000,0.562500
1.559000,0.578125
1.561000,0.593750
1.561000,0.609375
1.598000,0.625000
1.607000,0.640625
1.626000,0.656250
1.628000,0.671875
1.629000,0.687500
1.630000,0.703125
1.632000,0.718750
1.637000,0.734375
1.639000,0.750000
1.664000,0.765625
1.666000,0.781250
1.693000,0.796875
1.695000,0.812500
1.698000,0.828125
1.701000,0.843750
1.710000,0.859375
1.714000,0.875000
1.716000,0.890625
1.716000,0.906250
1.716000,0.921875
1.722000,0.937500
1.722000,0.953125
1.722000,0.968750
1.725000,0.984375
1.728000,1.000000
