router_id,t_converged_s
1,0.636000
2,1.540000
3,0.741000
4,1.598000
5,1.152000
6,1.152000
7,1.288000
8,1.561000
9,1.500000
10,1.499000
11,1.716000
12,1.639000
13,1.284000
14,1.551000
15,1.664000
16,1.725000
17,0.034000
18,1.538000
19,1.475000
20,1.449000
21,1.607000
22,1.260000
23,1.385000
24,1.419000
25,1.511000
26,1.325000
27,1.387000
28,1.693000
29,0.825000
30,1.286000
31,1.629000
32,1.701000
33,0.652000
34,1.023000
35,1.525000
36,1.499000
37,1.637000
38,1.327000
39,1.695000
40,1.253000
41,0.000000
42,1.559000
43,1.548000
44,1.561000
45,1.632000
46,1.626000
47,1.628000
48,1.630000
49,1.710000
50,1.543000
51,1.716000
52,1.722000
53,1.698000
54,1.714000
55,1.722000
56,1.728000
57,1.550000
58,1.540000
59,1.548000
60,1.412000
61,1.666000
62,1.722000
63,1.354000
64,1.716000
