router_id,t_converged_s
1,0.966000
2,1.035000
3,1.075000
4,0.976000
5,1.020000
6,1.230000
7,1.009000
8,1.037000
9,1.150000
10,0.976000
11,0.968000
12,1.150000
13,1.097000
14,0.604000
15,0.702000
16,0.878000
17,0.024000
18,1.209000
19,1.159000
20,0.625000
21,0.964000
22,1.020000
23,1.102000
24,1.078000
25,1.065000
26,1.182000
27,1.137000
28,0.739000
29,0.970000
30,0.897000
31,1.171000
32,1.116000
33,1.018000
34,0.963000
35,1.187000
36,0.812000
37,1.000000
38,1.251000
39,0.861000
40,0.952000
41,0.000000
42,1.216000
43,1.201000
44,0.867000
45,1.094000
46,1.035000
47,1.107000
48,1.119000
49,1.191000
50,1.189000
51,1.184000
52,1.185000
53,1.190000
54,1.169000
55,1.186000
56,1.176000
57,1.029000
58,1.194000
59,1.200000
60,1.060000
61,1.262000
62,1.264000
63,1.256000
64,1.100000
