t_s,ratio
0.000000,0.015625
0.024000,0.031250
0.604000,0.046875
0.625000,0.062500
0.702000,0.078125
0.739000,0.093750
0.812000,0.109375
0.861000,0.125000
0.867000,0.140625
0.878000,0.156250
0.897000,0.171875
0.952000,0.187500
0.963000,0.203125
0.964000,0.218750
0.966000,0.234375
0.968000,0.250000
0.970000,0.265625
0.976000,0.281250
0.976000,0.296875
1.000000,0.312500
1.009000,0.328125
1.018000,0.343750
1.020000,0.359375
1.020000,0.375000
1.029000,0.390625
1.035000,0.406250
1.035000,0.421875
1.037000,0.437500
1.060000,0.453125
1.065000,0.468750
1.075000,0.484375
1.078000,0.500000
1.094000,0.515625
1.097000,0.531250
1.100000,0.546875
1.102000,0.562500
1.107000,0.578125
1.116000,0.593750
1.119000,0.609375
1.137000,0.625000
1.150000,0.640625
1.150000,0.656250
1.159000,0.671875
1.169000,0.687500
1.171000,0.703125
1.176000,0.718750
1.182000,0.734375
1.184000,0.750000
1.185000,0.765625
1.186000,0.781250
1.187000,0.796875
1.189000,0.812500
1.190000,0.828125
1.191000,0.843750
1.194000,0.859375
1.200000,0.875000
1.201000,0.890625
1.209000,0.906250
1.216000,0.921875
1.230000,0.937500
1.251000,0.953125
1.256000,0.968750
1.262000,0.984375
1.264000,1.000000
