t_s,ratio
0.000000,0.015625
0.034000,0.031250
0.608000,0.046875
0.665000,0.062500
0.690000,0.078125
0.733000,0.093750
1.151000,0.109375
1.216000,0.125000
1.256000,0.140625
1.261000,0.156250
1.281000,0.171875
1.444000,0.187500
1.450000,0.203125
1.451000,0.218750
1.505000,0.234375
1.529000,0.250000
1.534000,0.265625
1.537000,0.281250
1.541000,0.296875
1.546000,0.312500
1.552000,0.328125
1.552000,0.343750
1.553000,0.359375
1.555000,0.375000
1.572000,0.390625
1.574000,0.406250
1.575000,0.421875
1.580000,0.437500
1.582000,0.453125
1.590000,0.468750
1.593000,0.484375
1.593000,0.500000
1.606000,0.515625
1.608000,0.531250
1.609000,0.546875
1.613000,0.562500
1.619000,0.578125
1.628000,0.593750
1.633000,0.609375
1.634000,0.625000
1.639000,0.640625
1.649000,0.656250
1.649000,0.671875
1.651000,0.687500
1.653000,0.703125
1.663000,0.718750
1.669000,0.734375
1.672000,0.750000
1.672000,0.765625
1.678000,0.781250
1.685000,0.796875
1.686000,0.812500
1.695000,0.828125
1.701000,0.843750
1.705000,0.859375
1.705000,0.875000
1.717000,0.890625
1.738000,0.906250
1.738000,0.921875
1.742000,0.937500
1.746000,0.953125
1.751000,0.968750
1.757000,0.984375
1.765000,1.000000
