t_s,ratio
0.000000,0.015625
0.034000,0.031250
0.819000,0.046875
0.887000,0.062500
0.940000,0.078125
0.966000,0.093750
0.973000,0.109375
0.990000,0.125000
1.004000,0.140625
1.007000,0.156250
1.019000,0.171875
1.021000,0.187500
1.034000,0.203125
1.111000,0.218750
1.333000,0.234375
1.367000,0.250000
1.368000,0.265625
1.398000,0.281250
1.480000,0.296875
1.504000,0.312500
1.531000,0.328125
1.535000,0.343750
1.557000,0.359375
1.568000,0.375000
1.578000,0.390625
1.585000,0.406250
1.589000,0.421875
1.593000,0.437500
1.607000,0.453125
1.612000,0.468750
1.612000,0.484375
1.631000,0.500000
1.636000,0.515625
1.640000,0.531250
1.647000,0.546875
1.663000,0.562500
1.665000,0.578125
1.666000,0.593750
1.667000,0.609375
1.669000,0.625000
1.681000,0.640625
1.686000,0.656250
1.687000,0.671875
1.690000,0.687500
1.691000,0.703125
1.695000,0.718750
1.706000,0.734375
1.708000,0.750000
1.712000,0.765625
1.715000,0.781250
1.720000,0.796875
1.723000,0.812500
1.725000,0.828125
1.729000,0.843750
1.729000,0.859375
1.730000,0.875000
1.732000,0.890625
1.735000,0.906250
1.740000,0.921875
1.744000,0.937500
1.746000,0.953125
1.751000,0.968750
1.752000,0.984375
1.756000,1.000000
