router_id,t_converged_s
1,0.887000
2,1.725000
3,1.021000
4,1.034000
5,1.568000
6,1.367000
7,1.480000
8,1.636000
9,1.612000
10,1.647000
11,1.111000
12,1.712000
13,1.557000
14,1.751000
15,1.723000
16,1.746000
17,0.034000
18,1.398000
19,1.585000
20,1.640000
21,0.973000
22,1.663000
23,0.940000
24,0.990000
25,0.966000
26,1.666000
27,1.004000
28,1.504000
29,1.706000
30,1.368000
31,1.669000
32,1.607000
33,1.007000
34,1.535000
35,1.578000
36,1.715000
37,1.589000
38,1.593000
39,1.729000
40,1.720000
41,0.000000
42,1.631000
43,1.667000
44,1.665000
45,0.819000
46,1.019000
47,1.690000
48,1.686000
49,1.681000
50,1.691000
51,1.687000
52,1.531000
53,1.333000
54,1.708000
55,1.729000
56,1.735000
57,1.730000
58,1.612000
59,1.732000
60,1.740000
61,1.695000
62,1.756000
63,1.752000
64,1.744000
