t_s,ratio
0.000000,0.015625
0.034000,0.031250
0.829000,0.046875
0.936000,0.062500
1.078000,0.078125
1.178000,0.093750
1.200000,0.109375
1.247000,0.125000
1.264000,0.140625
1.289000,0.156250
1.314000,0.171875
1.316000,0.187500
1.342000,0.203125
1.359000,0.218750
1.362000,0.234375
1.371000,0.250000
1.387000,0.265625
1.408000,0.281250
1.420000,0.296875
1.430000,0.312500
1.435000,0.328125
1.464000,0.343750
1.464000,0.359375
1.467000,0.375000
1.467000,0.390625
1.471000,0.406250
1.472000,0.421875
1.474000,0.437500
1.481000,0.453125
1.485000,0.468750
1.495000,0.484375
1.497000,0.500000
1.497000,0.515625
1.501000,0.531250
1.522000,0.546875
1.524000,0.562500
1.542000,0.578125
1.545000,0.593750
1.556000,0.609375
1.563000,0.625000
1.567000,0.640625
1.568000,0.656250
1.573000,0.671875
1.574000,0.687500
1.575000,0.703125
1.575000,0.718750
1.579000,0.734375
1.582000,0.750000
1.583000,0.765625
1.586000,0.781250
1.593000,0.796875
1.595000,0.812500
1.598000,0.828125
1.603000,0.843750
1.627000,0.859375
1.641000,0.875000
1.650000,0.890625
1.651000,0.906250
1.667000,0.921875
1.669000,0.937500
1.670000,0.953125
1.677000,0.968750
1.678000,0.984375
1.680000,1.000000
