router_id,t_converged_s
1,1.575000
2,1.078000
3,1.568000
4,1.362000
5,1.342000
6,1.359000
7,1.435000
8,1.430000
9,1.678000
10,1.471000
11,1.289000
12,1.178000
13,1.545000
14,1.472000
15,1.563000
16,1.522000
17,0.034000
18,1.464000
19,1.264000
20,1.567000
21,1.556000
22,1.467000
23,1.316000
24,1.524000
25,1.247000
26,1.464000
27,1.474000
28,1.371000
29,1.485000
30,1.408000
31,1.420000
32,1.574000
33,1.314000
34,1.467000
35,1.651000
36,1.583000
37,1.387000
38,1.650000
39,1.200000
40,1.598000
41,0.000000
42,1.582000
43,0.829000
44,1.586000
45,0.936000
46,1.573000
47,1.575000
48,1.579000
49,1.497000
50,1.481000
51,1.501000
52,1.497000
53,1.495000
54,1.593000
55,1.603000
56,1.595000
57,1.670000
58,1.542000
59,1.627000
60,1.680000
61,1.641000
62,1.669000
63,1.677000
64,1.667000
