router_id,t_converged_s
1,0.831642
2,0.616992
3,0.615203
4,0.868451
5,0.573781
6,0.646200
7,0.214214
8,0.661817
9,0.787824
10,0.797235
11,0.796890
12,0.788987
13,0.837398
14,0.795135
15,0.620212
16,0.792258
17,0.059646
18,0.169904
19,0.067118
20,0.835754
21,0.612195
22,0.660848
23,0.657952
24,0.616584
25,0.833048
26,0.575761
27,0.744277
28,0.785002
29,0.525773
30,0.527707
31,0.796255
32,0.789394
33,0.572329
34,0.650191
35,0.750283
36,0.516045
37,0.830790
38,0.652145
39,0.791051
40,0.791999
41,0.000000
42,0.061540
43,0.169417
44,0.837564
45,0.659109
46,0.614046
47,0.701365
48,0.662079
49,0.834252
50,0.834375
51,0.786674
52,0.868659
53,0.568457
54,0.797471
55,0.793892
56,0.835375
57,0.651153
58,0.751580
59,0.751782
60,0.751749
61,0.832139
62,0.792212
63,0.793311
64,0.832376
