router_id,t_converged_s
1,0.215000
2,0.193000
3,0.173000
4,0.212000
5,0.221000
6,0.099000
7,0.218000
8,0.109000
9,0.179000
10,0.141000
11,0.176000
12,0.187000
13,0.168000
14,0.196000
15,0.136000
16,0.199000
17,0.002000
18,0.064000
19,0.168000
20,0.144000
21,0.210000
22,0.065000
23,0.084000
24,0.141000
25,0.198000
26,0.205000
27,0.183000
28,0.132000
29,0.164000
30,0.104000
31,0.178000
32,0.185000
33,0.211000
34,0.218000
35,0.183000
36,0.201000
37,0.190000
38,0.225000
39,0.145000
40,0.203000
41,0.000000
42,0.172000
43,0.171000
44,0.171000
45,0.213000
46,0.152000
47,0.212000
48,0.213000
49,0.201000
50,0.128000
51,0.209000
52,0.208000
53,0.067000
54,0.180000
55,0.189000
56,0.188000
57,0.212000
58,0.215000
59,0.220000
60,0.220000
61,0.207000
62,0.228000
63,0.228000
64,0.228000
