router_id,t_converged_s
1,0.000000
2,0.000000
3,0.000000
4,0.041000
5,0.034000
6,0.021000
7,0.021000
8,0.023000
9,0.047000
10,0.042000
11,0.018000
12,0.051000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.038000
18,0.000000
19,0.040000
20,0.000000
21,0.019000
22,0.054000
23,0.052000
24,0.000000
25,0.015000
26,0.000000
27,0.047000
28,0.000000
29,0.047000
30,0.032000
31,0.040000
32,0.018000
33,0.037000
34,0.003000
35,0.043000
36,0.000000
37,0.045000
38,0.054000
39,0.048000
40,0.000000
41,0.000000
42,0.000000
43,0.000000
44,0.000000
45,0.021000
46,0.000000
47,0.030000
48,0.000000
49,0.016000
50,0.000000
51,0.022000
52,0.035000
53,0.038000
54,0.018000
55,0.028000
56,0.014000
57,0.000000
58,0.036000
59,0.021000
60,0.024000
61,0.052000
62,0.000000
63,0.030000
64,0.045000
