router_id,t_converged_s
1,0.834000
2,0.402000
3,0.533000
4,0.228000
5,0.877000
6,0.687000
7,0.642000
8,0.868000
9,0.752000
10,0.618000
11,0.795000
12,0.823000
13,0.773000
14,0.699000
15,0.712000
16,0.841000
17,0.015000
18,0.622000
19,0.817000
20,0.827000
21,0.457000
22,0.430000
23,0.785000
24,0.807000
25,0.521000
26,0.640000
27,0.834000
28,0.631000
29,0.218000
30,0.877000
31,0.753000
32,0.724000
33,0.847000
34,0.677000
35,0.528000
36,0.738000
37,0.834000
38,0.838000
39,0.705000
40,0.769000
41,0.000000
42,0.829000
43,0.825000
44,0.827000
45,0.815000
46,0.800000
47,0.746000
48,0.807000
49,0.648000
50,0.844000
51,0.832000
52,0.838000
53,0.875000
54,0.887000
55,0.877000
56,0.761000
57,0.746000
58,0.847000
59,0.734000
60,0.851000
61,0.810000
62,0.806000
63,0.840000
64,0.838000
