t_s,ratio
0.000000,0.015625
0.015000,0.031250
0.218000,0.046875
0.228000,0.062500
0.402000,0.078125
0.430000,0.093750
0.457000,0.109375
0.521000,0.125000
0.528000,0.140625
0.533000,0.156250
0.618000,0.171875
0.622000,0.187500
0.631000,0.203125
0.640000,0.218750
0.642000,0.234375
0.648000,0.250000
0.677000,0.265625
0.687000,0.281250
0.699000,0.296875
0.705000,0.312500
0.712000,0.328125
0.724000,0.343750
0.734000,0.359375
0.738000,0.375000
0.746000,0.390625
0.746000,0.406250
0.752000,0.421875
0.753000,0.437500
0.761000,0.453125
0.769000,0.468750
0.773000,0.484375
0.785000,0.500000
0.795000,0.515625
0.800000,0.531250
0.806000,0.546875
0.807000,0.562500
0.807000,0.578125
0.810000,0.593750
0.815000,0.609375
0.817000,0.625000
0.823000,0.640625
0.825000,0.656250
0.827000,0.671875
0.827000,0.687500
0.829000,0.703125
0.832000,0.718750
0.834000,0.734375
0.834000,0.750000
0.834000,0.765625
0.838000,0.781250
0.838000,0.796875
0.838000,0.812500
0.840000,0.828125
0.841000,0.843750
0.844000,0.859375
0.847000,0.875000
0.847000,0.890625
0.851000,0.906250
0.868000,0.921875
0.875000,0.937500
0.877000,0.953125
0.877000,0.968750
0.877000,0.984375
0.887000,1.000000
