router_id,t_converged_s
1,12.481687
2,9.773184
3,12.461389
4,12.447369
5,12.163351
6,12.482143
7,12.038114
8,12.052636
9,12.429041
10,12.648962
11,9.325120
12,12.580844
13,12.143352
14,12.441864
15,12.129502
16,12.804472
17,5.044933
18,12.819956
19,12.356660
20,12.387691
21,12.709462
22,11.715918
23,11.326117
24,11.909406
25,12.840044
26,11.327802
27,12.484349
28,12.726414
29,12.075606
30,12.752612
31,11.785064
32,12.187411
33,12.377784
34,12.740357
35,12.803909
36,12.502268
37,12.778021
38,12.490196
39,12.615442
40,12.511626
41,0.000000
42,12.336312
43,12.240435
44,11.886131
45,11.735289
46,11.473761
47,11.932475
48,12.635027
49,9.371842
50,12.310398
51,11.428061
52,11.782180
53,9.684503
54,11.655597
55,12.149074
56,11.993523
57,11.684504
58,12.551670
59,12.047380
60,11.589052
61,11.642974
62,12.337629
63,11.616332
64,12.086623
