t_s,ratio
0.000000,0.015625
5.044933,0.031250
9.325120,0.046875
9.371842,0.062500
9.684503,0.078125
9.773184,0.093750
11.326117,0.109375
11.327802,0.125000
11.428061,0.140625
11.473761,0.156250
11.589052,0.171875
11.616332,0.187500
11.642974,0.203125
11.655597,0.218750
11.684504,0.234375
11.715918,0.250000
11.735289,0.265625
11.782180,0.281250
11.785064,0.296875
11.886131,0.312500
11.909406,0.328125
11.932475,0.343750
11.993523,0.359375
12.038114,0.375000
12.047380,0.390625
12.052636,0.406250
12.075606,0.421875
12.086623,0.437500
12.129502,0.453125
12.143352,0.468750
12.149074,0.484375
12.163351,0.500000
12.187411,0.515625
12.240435,0.531250
12.310398,0.546875
12.336312,0.562500
12.337629,0.578125
12.356660,0.593750
12.377784,0.609375
12.387691,0.625000
12.429041,0.640625
12.441864,0.656250
12.447369,0.671875
12.461389,0.687500
12.481687,0.703125
12.482143,0.718750
12.484349,0.734375
12.490196,0.750000
12.502268,0.765625
12.511626,0.781250
12.551670,0.796875
12.580844,0.812500
12.615442,0.828125
12.635027,0.843750
12.648962,0.859375
12.709462,0.875000
12.726414,0.890625
12.740357,0.906250
12.752612,0.921875
12.778021,0.937500
12.803909,0.953125
12.804472,0.968750
12.819956,0.984375
12.840044,1.000000
