router_id,t_converged_s
1,0.141000
2,0.225000
3,0.224000
4,0.169000
5,0.166000
6,0.183000
7,0.193000
8,0.200000
9,0.205000
10,0.071000
11,0.151000
12,0.207000
13,0.172000
14,0.181000
15,0.210000
16,0.208000
17,0.001000
18,0.197000
19,0.067000
20,0.204000
21,0.165000
22,0.093000
23,0.070000
24,0.185000
25,0.187000
26,0.179000
27,0.196000
28,0.168000
29,0.165000
30,0.195000
31,0.147000
32,0.203000
33,0.140000
34,0.112000
35,0.156000
36,0.214000
37,0.221000
38,0.189000
39,0.204000
40,0.214000
41,0.000000
42,0.200000
43,0.055000
44,0.207000
45,0.189000
46,0.073000
47,0.168000
48,0.188000
49,0.182000
50,0.192000
51,0.198000
52,0.199000
53,0.103000
54,0.198000
55,0.205000
56,0.206000
57,0.159000
58,0.218000
59,0.217000
60,0.218000
61,0.217000
62,0.186000
63,0.224000
64,0.224000
