router_id,t_converged_s
1,1.638000
2,1.687000
3,1.297000
4,0.575000
5,1.729000
6,1.241000
7,1.683000
8,1.742000
9,1.264000
10,1.511000
11,1.629000
12,1.748000
13,1.272000
14,1.035000
15,1.449000
16,1.821000
17,0.034000
18,1.719000
19,1.719000
20,1.788000
21,1.540000
22,1.031000
23,1.487000
24,1.075000
25,1.671000
26,1.214000
27,1.586000
28,1.346000
29,1.675000
30,1.501000
31,1.655000
32,1.420000
33,0.508000
34,1.646000
35,1.205000
36,1.482000
37,0.857000
38,1.694000
39,1.653000
40,0.931000
41,0.000000
42,1.745000
43,1.796000
44,1.811000
45,1.312000
46,1.563000
47,1.565000
48,1.504000
49,1.694000
50,1.688000
51,1.371000
52,1.686000
53,1.696000
54,1.698000
55,1.692000
56,1.673000
57,1.165000
58,1.665000
59,1.673000
60,1.673000
61,1.723000
62,1.692000
63,0.941000
64,1.713000
