t_s,ratio
0.000000,0.015625
0.034000,0.031250
0.508000,0.046875
0.575000,0.062500
0.857000,0.078125
0.931000,0.093750
0.941000,0.109375
1.031000,0.125000
1.035000,0.140625
1.075000,0.156250
1.165000,0.171875
1.205000,0.187500
1.214000,0.203125
1.241000,0.218750
1.264000,0.234375
1.272000,0.250000
1.297000,0.265625
1.312000,0.281250
1.346000,0.296875
1.371000,0.312500
1.420000,0.328125
1.449000,0.343750
1.482000,0.359375
1.487000,0.375000
1.501000,0.390625
1.504000,0.406250
1.511000,0.421875
1.540000,0.437500
1.563000,0.453125
1.565000,0.468750
1.586000,0.484375
1.629000,0.500000
1.638000,0.515625
1.646000,0.531250
1.653000,0.546875
1.655000,0.562500
1.665000,0.578125
1.671000,0.593750
1.673000,0.609375
1.673000,0.625000
1.673000,0.640625
1.675000,0.656250
1.683000,0.671875
1.686000,0.687500
1.687000,0.703125
1.688000,0.718750
1.692000,0.734375
1.692000,0.750000
1.694000,0.765625
1.694000,0.781250
1.696000,0.796875
1.698000,0.812500
1.713000,0.828125
1.719000,0.843750
1.719000,0.859375
1.723000,0.875000
1.729000,0.890625
1.742000,0.906250
1.745000,0.921875
1.748000,0.937500
1.788000,0.953125
1.796000,0.968750
1.811000,0.984375
1.821000,1.000000
