t_s,ratio
0.000000,0.015625
0.016000,0.031250
0.169000,0.046875
0.468000,0.062500
0.472000,0.078125
0.494000,0.093750
0.564000,0.109375
0.573000,0.125000
0.595000,0.140625
0.599000,0.156250
0.635000,0.171875
0.635000,0.187500
0.644000,0.203125
0.683000,0.218750
0.733000,0.234375
0.739000,0.250000
0.743000,0.265625
0.745000,0.281250
0.747000,0.296875
0.758000,0.312500
0.763000,0.328125
0.772000,0.343750
0.778000,0.359375
0.783000,0.375000
0.787000,0.390625
0.796000,0.406250
0.804000,0.421875
0.816000,0.437500
0.819000,0.453125
0.823000,0.468750
0.824000,0.484375
0.826000,0.500000
0.827000,0.515625
0.829000,0.531250
0.842000,0.546875
0.843000,0.562500
0.843000,0.578125
0.845000,0.593750
0.845000,0.609375
0.847000,0.625000
0.848000,0.640625
0.852000,0.656250
0.855000,0.671875
0.855000,0.687500
0.856000,0.703125
0.858000,0.718750
0.858000,0.734375
0.858000,0.750000
0.861000,0.765625
0.862000,0.781250
0.866000,0.796875
0.866000,0.812500
0.868000,0.828125
0.871000,0.843750
0.873000,0.859375
0.874000,0.875000
0.876000,0.890625
0.877000,0.906250
0.877000,0.921875
0.878000,0.937500
0.878000,0.953125
0.878000,0.968750
0.881000,0.984375
0.883000,1.000000
