router_id,t_converged_s
1,0.827000
2,0.169000
3,0.866000
4,0.819000
5,0.494000
6,0.848000
7,0.599000
8,0.876000
9,0.683000
10,0.733000
11,0.878000
12,0.858000
13,0.823000
14,0.873000
15,0.468000
16,0.778000
17,0.016000
18,0.845000
19,0.878000
20,0.861000
21,0.855000
22,0.573000
23,0.843000
24,0.783000
25,0.824000
26,0.868000
27,0.635000
28,0.758000
29,0.796000
30,0.564000
31,0.826000
32,0.842000
33,0.635000
34,0.595000
35,0.743000
36,0.472000
37,0.772000
38,0.816000
39,0.858000
40,0.877000
41,0.000000
42,0.862000
43,0.881000
44,0.883000
45,0.866000
46,0.858000
47,0.856000
48,0.852000
49,0.763000
50,0.877000
51,0.871000
52,0.829000
53,0.847000
54,0.843000
55,0.804000
56,0.845000
57,0.745000
58,0.644000
59,0.747000
60,0.739000
61,0.874000
62,0.787000
63,0.878000
64,0.855000
