t_s,ratio
0.000000,0.015625
0.044000,0.031250
0.852000,0.046875
0.922000,0.062500
0.972000,0.078125
1.059000,0.093750
1.149000,0.109375
1.285000,0.125000
1.334000,0.140625
1.375000,0.156250
1.643000,0.171875
1.672000,0.187500
1.676000,0.203125
1.743000,0.218750
1.832000,0.234375
1.839000,0.250000
1.852000,0.265625
1.858000,0.281250
1.858000,0.296875
1.859000,0.312500
1.859000,0.328125
1.860000,0.343750
1.861000,0.359375
1.861000,0.375000
1.861000,0.390625
1.862000,0.406250
1.862000,0.421875
1.862000,0.437500
1.863000,0.453125
1.863000,0.468750
1.863000,0.484375
1.863000,0.500000
1.863000,0.515625
1.863000,0.531250
1.863000,0.546875
1.864000,0.562500
1.864000,0.578125
1.864000,0.593750
1.864000,0.609375
1.864000,0.625000
1.864000,0.640625
1.864000,0.656250
1.864000,0.671875
1.864000,0.687500
1.864000,0.703125
1.864000,0.718750
1.864000,0.734375
1.864000,0.750000
1.864000,0.765625
1.864000,0.781250
1.865000,0.796875
1.865000,0.812500
1.865000,0.828125
1.865000,0.843750
1.865000,0.859375
1.865000,0.875000
1.865000,0.890625
1.865000,0.906250
1.865000,0.921875
1.865000,0.937500
1.865000,0.953125
1.865000,0.968750
1.865000,0.984375
1.865000,1.000000
