router_id,t_converged_s
1,0.922000
2,0.972000
3,1.864000
4,1.375000
5,1.865000
6,1.864000
7,1.676000
8,1.859000
9,1.864000
10,1.864000
11,1.865000
12,1.865000
13,1.852000
14,1.864000
15,1.864000
16,1.863000
17,0.044000
18,1.865000
19,1.864000
20,1.865000
21,1.149000
22,0.852000
23,1.863000
24,1.865000
25,1.059000
26,1.865000
27,1.672000
28,1.864000
29,1.863000
30,1.858000
31,1.865000
32,1.839000
33,1.863000
34,1.832000
35,1.865000
36,1.643000
37,1.334000
38,1.743000
39,1.863000
40,1.865000
41,0.000000
42,1.862000
43,1.864000
44,1.861000
45,1.862000
46,1.285000
47,1.864000
48,1.863000
49,1.861000
50,1.865000
51,1.863000
52,1.865000
53,1.861000
54,1.864000
55,1.858000
56,1.865000
57,1.864000
58,1.864000
59,1.864000
60,1.859000
61,1.860000
62,1.864000
63,1.865000
64,1.862000
